trap_num,time_num,total_objs,predecessorID
104,1,1,1
104,2,1,1
104,3,1,1
104,4,2,1
104,4,2,1
104,5,2,2
104,5,2,1
104,6,2,2
104,6,2,1
104,7,2,2
104,7,2,1
104,8,2,2
104,8,2,1
104,9,2,2
104,9,2,2
104,10,2,2
104,10,2,1
104,11,2,1
104,11,2,2
104,12,3,1
104,12,3,1
104,12,3,1
104,13,3,2
104,13,3,1
104,13,3,1
104,14,3,2
104,14,3,1
104,14,3,1
104,15,2,1
104,15,2,1
104,16,2,1
104,16,2,1
104,17,2,2
104,17,2,1
104,18,2,2
104,18,2,1
104,19,2,2
104,19,2,1
104,20,2,2
104,20,2,2
104,21,3,1
104,21,3,2
104,21,3,2
104,22,3,3
104,22,3,3
104,22,3,1
104,23,2,3
104,23,2,1
104,24,2,1
104,24,2,1
104,25,2,2
104,25,2,1
104,26,2,2
104,26,2,1
104,27,3,1
104,27,3,1
104,27,3,2
104,28,3,3
104,28,3,3
104,28,3,1
104,29,3,3
104,29,3,3
104,29,3,1
104,30,3,2
104,30,3,3
104,30,3,2
104,31,2,2
104,31,2,3
104,32,2,2
104,32,2,1
104,33,2,2
104,33,2,1
104,34,3,2
104,34,3,1
104,34,3,2
104,35,3,2
104,35,3,3
104,35,3,2
104,36,2,3
104,36,2,2
104,37,2,2
104,37,2,2
104,38,2,2
104,38,2,1
104,39,2,2
104,39,2,1
104,40,2,1
104,40,2,1
104,41,3,1
104,41,3,1
104,41,3,1
104,42,3,3
104,42,3,3
104,42,3,1
104,43,3,3
104,43,3,3
104,43,3,1
104,44,3,3
104,44,3,3
104,44,3,2
104,45,2,3
104,45,2,2
104,46,2,2
104,46,2,2
104,47,2,1
104,47,2,1
104,48,3,1
104,48,3,1
104,48,3,1
104,49,3,3
104,49,3,3
104,49,3,2
104,50,3,3
104,50,3,3
104,50,3,1
104,51,3,3
104,51,3,3
104,51,3,2
104,52,3,2
104,52,3,3
104,52,3,2
104,53,3,2
104,53,3,3
104,53,3,2
104,54,3,2
104,54,3,3
104,54,3,3
104,55,3,3
104,55,3,1
104,55,3,3
104,56,2,3
104,56,2,2
104,57,2,2
104,57,2,1
104,58,2,2
104,58,2,1
104,59,2,2
104,59,2,1
104,60,2,2
104,60,2,1
104,61,2,2
104,61,2,1
104,62,2,1
104,62,2,2
104,63,3,2
104,63,3,2
104,63,3,2
104,64,3,2
104,64,3,1
104,64,3,1
104,65,3,2
104,65,3,1
104,65,3,1
104,66,3,2
104,66,3,1
104,66,3,1
104,67,2,3
104,67,2,1
104,68,2,2
104,68,2,1
104,69,2,1
104,69,2,2
104,70,3,1
104,70,3,1
104,70,3,1
104,71,2,1
104,71,2,3
104,72,2,2
104,72,2,1
104,73,2,2
104,73,2,1
104,74,2,2
104,74,2,1
104,75,2,2
104,75,2,1
104,76,2,1
104,76,2,1
104,77,1,2
104,78,2,1
104,78,2,1
104,79,3,2
104,79,3,2
104,79,3,1
104,80,2,3
104,80,2,2
104,81,2,2
104,81,2,1
104,82,2,1
104,82,2,2
104,83,2,2
104,83,2,1
104,84,2,2
104,84,2,2
104,85,3,1
104,85,3,1
104,85,3,1
104,86,3,2
104,86,3,1
104,86,3,1
104,87,3,1
104,87,3,1
104,87,3,1
104,88,4,2
104,88,4,3
104,88,4,3
104,88,4,2
104,89,4,3
104,89,4,3
104,89,4,4
104,89,4,4
104,90,2,3
104,90,2,2
104,91,2,2
104,91,2,2
104,92,2,1
104,92,2,1
104,93,2,2
104,93,2,1
104,94,2,2
104,94,2,2
104,95,2,2
104,95,2,1
104,96,3,1
104,96,3,1
104,96,3,1
104,97,3,3
104,97,3,3
104,97,3,2
104,98,4,1
104,98,4,3
104,98,4,3
104,98,4,1
104,99,4,3
104,99,4,1
104,99,4,1
104,99,4,3
104,100,4,2
104,100,4,1
104,100,4,1
104,100,4,2
104,101,4,2
104,101,4,1
104,101,4,1
104,101,4,1
104,102,2,1
104,102,2,1
104,103,3,2
104,103,3,2
104,103,3,1
104,104,4,1
104,104,4,3
104,104,4,3
104,104,4,1
104,105,4,3
104,105,4,1
104,105,4,1
104,105,4,3
104,106,4,3
104,106,4,1
104,106,4,1
104,106,4,3
104,107,4,3
104,107,4,1
104,107,4,1
104,107,4,1
104,108,4,3
104,108,4,1
104,108,4,1
104,108,4,3
104,109,3,3
104,109,3,4
104,109,3,3
104,110,3,3
104,110,3,3
104,110,3,3
104,111,4,2
104,111,4,1
104,111,4,2
104,111,4,2
104,112,4,2
104,112,4,2
104,112,4,4
104,112,4,2
104,113,4,3
104,113,4,3
104,113,4,1
104,113,4,1
104,114,4,3
104,114,4,3
104,114,4,1
104,114,4,3
104,115,4,3
104,115,4,3
104,115,4,1
104,115,4,3
104,116,3,3
104,116,3,1
104,116,3,3
104,117,4,2
104,117,4,2
104,117,4,3
104,117,4,2
104,118,4,3
104,118,4,1
104,118,4,1
104,118,4,3
104,119,4,3
104,119,4,4
104,119,4,4
104,119,4,3
104,120,4,3
104,120,4,4
104,120,4,4
104,120,4,3
104,121,4,2
104,121,4,4
104,121,4,4
104,121,4,2
104,122,4,3
104,122,4,1
104,122,4,1
104,122,4,3
104,123,3,3
104,123,3,4
104,123,3,3
104,124,2,1
104,124,2,2
104,125,3,1
104,125,3,2
104,125,3,2
104,126,4,2
104,126,4,1
104,126,4,1
104,126,4,2
104,127,4,2
104,127,4,4
104,127,4,2
104,127,4,4
104,128,4,3
104,128,4,2
104,128,4,3
104,128,4,3
104,129,4,2
104,129,4,1
104,129,4,1
104,129,4,2
104,130,3,2
104,130,3,1
104,130,3,2
104,131,3,2
104,131,3,1
104,131,3,1
104,132,4,2
104,132,4,1
104,132,4,1
104,132,4,1
104,133,1,1
104,134,2,1
104,134,2,1
104,135,2,2
104,135,2,2
104,136,2,2
104,136,2,1
104,137,2,2
104,137,2,2
104,138,2,2
104,138,2,1
104,139,2,2
104,139,2,2
104,140,2,2
104,140,2,1
104,141,2,1
104,141,2,2
104,142,2,2
104,142,2,2
104,143,3,1
104,143,3,1
104,143,3,1
104,144,3,2
104,144,3,1
104,144,3,1
104,145,3,3
104,145,3,1
104,145,3,1
104,146,3,3
104,146,3,3
104,146,3,1
104,147,2,3
104,147,2,1
104,148,2,2
104,148,2,2
104,149,3,1
104,149,3,1
104,149,3,1
104,150,2,3
104,150,2,1
104,151,3,2
104,151,3,2
104,151,3,1
104,152,3,3
104,152,3,3
104,152,3,1
104,153,3,3
104,153,3,3
104,153,3,2
104,154,3,3
104,154,3,3
104,154,3,3
104,155,2,3
104,155,2,3
104,156,2,1
104,156,2,1
104,157,2,2
104,157,2,1
104,158,3,1
104,158,3,1
104,158,3,1
104,159,3,3
104,159,3,3
104,159,3,1
104,160,3,2
104,160,3,3
104,160,3,2
104,161,3,3
104,161,3,3
104,161,3,2
104,162,2,3
104,162,2,1
104,163,2,2
104,163,2,2
104,164,3,2
104,164,3,2
104,164,3,2
104,165,2,3
104,165,2,3
104,166,3,1
104,166,3,1
104,166,3,1
104,167,3,3
104,167,3,3
104,167,3,3
104,168,2,3
104,168,2,2
104,169,2,2
104,169,2,1
104,170,2,2
104,170,2,1
104,171,2,1
104,171,2,1
104,172,3,1
104,172,3,1
104,172,3,2
104,173,3,3
104,173,3,3
104,173,3,1
104,174,2,3
104,174,2,2
104,175,2,2
104,175,2,1
104,176,2,2
104,176,2,1
104,177,2,2
104,177,2,1
104,178,2,2
104,178,2,1
104,179,2,1
104,179,2,2
104,180,3,2
104,180,3,1
104,180,3,2
104,181,3,3
104,181,3,3
104,181,3,2
104,182,3,3
104,182,3,3
104,182,3,2
104,183,3,2
104,183,3,3
104,183,3,3
104,184,2,1
104,184,2,2
104,185,2,1
104,185,2,1
104,186,3,1
104,186,3,2
104,186,3,1
104,187,3,3
104,187,3,3
104,187,3,2
104,188,2,3
104,188,2,2
104,189,2,2
104,189,2,1
104,190,2,2
104,190,2,1
104,191,2,2
104,191,2,1
104,192,2,2
104,192,2,1
104,193,2,1
104,193,2,2
104,194,2,2
104,194,2,2
104,195,2,2
104,195,2,1
104,196,2,2
104,196,2,1
104,197,2,2
104,197,2,1
104,198,2,2
104,198,2,1
104,199,2,2
104,199,2,1
104,200,2,2
104,200,2,1
104,201,2,2
104,201,2,1
104,202,3,1
104,202,3,1
104,202,3,1
104,203,3,1
104,203,3,2
104,203,3,2
104,204,2,1
104,204,2,2
104,205,2,1
104,205,2,2
104,206,2,2
104,206,2,1
104,207,2,2
104,207,2,1
104,208,2,2
104,208,2,1
104,209,2,2
104,209,2,1
104,210,3,2
104,210,3,1
104,210,3,2
104,211,3,2
104,211,3,3
104,211,3,2
104,212,2,3
104,212,2,2
104,213,2,2
104,213,2,1
104,214,3,1
104,214,3,2
104,214,3,1
104,215,3,2
104,215,3,1
104,215,3,2
104,216,3,2
104,216,3,2
104,216,3,2
104,217,3,2
104,217,3,2
104,218,2,1
104,218,2,1
104,219,3,1
104,219,3,1
104,220,3,1
104,220,3,1
104,220,3,1
104,221,2,3
104,221,2,2
104,222,3,1
104,222,3,1
104,223,3,2
104,223,3,1
104,224,3,2
104,224,3,2
104,225,2,1
104,225,2,1
104,226,2,2
104,226,2,1
104,227,2,2
104,227,2,1
104,228,2,2
104,228,2,1
104,229,2,2
104,229,2,1
104,230,2,2
104,230,2,1
104,231,2,2
104,231,2,1
104,232,3,2
104,232,3,1
104,233,2,2
104,233,2,1
104,234,2,2
104,234,2,1
104,235,2,2
104,235,2,1
104,236,2,2
104,236,2,1
104,237,2,2
104,237,2,1
104,238,2,2
104,238,2,1
104,239,2,2
104,239,2,1
104,240,2,2
104,240,2,1
104,241,2,2
104,241,2,1
104,242,2,2
104,242,2,1
104,243,2,2
104,243,2,1
104,244,2,2
104,244,2,1
104,245,2,2
104,245,2,1
104,246,2,2
104,246,2,1
104,247,2,2
104,247,2,1
104,248,2,2
104,248,2,1
104,249,2,2
104,249,2,1
104,250,2,2
104,250,2,1
104,251,2,2
104,251,2,1
104,252,2,2
104,252,2,1
104,253,2,2
104,253,2,1
104,254,3,2
104,254,3,1
104,254,3,1
104,255,2,2
104,255,2,1
104,256,2,2
104,256,2,1
104,257,2,2
104,257,2,1
104,258,2,2
104,258,2,1
104,259,2,2
104,259,2,1
104,260,2,2
104,260,2,1
104,261,2,2
104,261,2,1
104,262,2,2
104,262,2,1
104,263,2,2
104,263,2,1
104,264,2,2
104,264,2,1
104,265,2,2
104,265,2,1
104,266,2,2
104,266,2,1
104,267,2,2
104,267,2,1
104,268,2,2
104,268,2,1
104,269,2,2
104,269,2,1
104,270,2,2
104,270,2,1
104,271,2,2
104,271,2,1
104,272,2,2
104,272,2,1
104,273,2,1
104,273,2,1
104,274,2,2
104,274,2,1
104,275,2,2
104,275,2,1
104,276,2,2
104,276,2,1
104,277,2,2
104,277,2,1
104,278,2,2
104,278,2,1
104,279,2,2
104,279,2,1
104,280,2,2
104,280,2,1
104,281,2,2
104,281,2,1
104,282,2,2
104,282,2,1
104,283,2,2
104,283,2,1
104,284,0,0
104,285,0,0
104,286,0,0
104,287,0,0
104,288,1,1
104,289,1,1
104,290,2,1
104,290,2,1
104,291,2,1
104,291,2,2
104,292,2,1
104,292,2,2
104,293,2,2
104,293,2,1
104,294,2,2
104,294,2,1
104,295,2,2
104,295,2,1
104,296,2,2
104,296,2,1
104,297,2,2
104,297,2,1
104,298,2,1
104,298,2,1
104,299,3,2
104,299,3,1
104,299,3,2
104,300,2,1
104,300,2,1
104,301,2,2
104,301,2,1
104,302,2,2
104,302,2,1
104,303,2,2
104,303,2,1
104,304,2,2
104,304,2,1
104,305,2,2
104,305,2,1
104,306,3,2
104,306,3,1
104,306,3,2
104,307,3,3
104,307,3,3
104,307,3,2
104,308,2,3
104,308,2,2
104,309,2,2
104,309,2,1
104,310,2,2
104,310,2,1
104,311,2,2
104,311,2,1
104,312,2,2
104,312,2,1
104,313,2,2
104,313,2,1
104,314,2,2
104,314,2,1
104,315,2,1
104,315,2,1
104,316,2,2
104,316,2,1
104,317,2,2
104,317,2,1
104,318,2,2
104,318,2,1
104,319,2,2
104,319,2,1
104,320,2,2
104,320,2,2
104,321,2,2
104,321,2,1
104,322,2,2
104,322,2,1
104,323,2,2
104,323,2,1
104,324,2,2
104,324,2,1
104,325,2,2
104,325,2,1
104,326,2,2
104,326,2,1
104,327,2,2
104,327,2,1
104,328,2,2
104,328,2,1
104,329,2,2
104,329,2,1
104,330,2,2
104,330,2,1
104,331,2,2
104,331,2,1
104,332,2,2
104,332,2,1
104,333,2,2
104,333,2,2
104,334,2,2
104,334,2,1
104,335,3,2
104,335,3,2
104,335,3,1
104,336,2,3
104,336,2,3
104,337,4,2
104,337,4,2
104,337,4,2
104,337,4,2
104,338,4,3
104,338,4,1
104,338,4,1
104,338,4,3
104,339,4,2
104,339,4,1
104,339,4,1
104,339,4,2
104,340,3,2
104,340,3,4
104,340,3,2
104,341,3,2
104,341,3,1
104,341,3,1
104,342,3,2
104,342,3,1
104,342,3,1
104,343,3,2
104,343,3,2
104,343,3,1
104,344,3,3
104,344,3,3
104,344,3,1
104,345,5,3
104,345,5,3
104,345,5,2
104,345,5,3
104,345,5,3
104,346,4,3
104,346,4,5
104,346,4,5
104,346,4,5
104,347,4,3
104,347,4,1
104,347,4,1
104,347,4,3
104,348,4,3
104,348,4,1
104,348,4,1
104,348,4,3
104,349,4,3
104,349,4,1
104,349,4,1
104,349,4,3
104,350,1,1
104,351,2,1
104,351,2,1
104,352,2,2
104,352,2,1
104,353,2,2
104,353,2,1
104,354,2,2
104,354,2,1
104,355,2,2
104,355,2,1
104,356,2,1
104,356,2,2
104,357,1,1
104,358,1,1
104,359,2,1
104,359,2,1
104,360,2,2
104,360,2,1
104,361,2,2
104,361,2,1
104,362,2,2
104,362,2,2
104,363,2,2
104,363,2,1
104,364,2,1
104,364,2,1
104,365,2,1
104,365,2,1
104,366,1,2
104,367,1,1
104,368,2,1
104,368,2,1
104,369,2,2
104,369,2,1
104,370,2,2
104,370,2,1
104,371,2,2
104,371,2,1
104,372,2,2
104,372,2,1
104,373,3,2
104,373,3,1
104,373,3,1
104,374,3,2
104,374,3,1
104,374,3,1
104,375,2,2
104,375,2,2
104,376,3,1
104,376,3,2
104,376,3,2
104,377,1,3
104,378,1,1
104,379,1,1
104,380,2,1
104,380,2,1
104,381,2,2
104,381,2,1
104,382,2,2
104,382,2,1
104,383,2,2
104,383,2,1
104,384,2,2
104,384,2,1
104,385,2,2
104,385,2,2
104,386,2,2
104,386,2,2
104,387,1,2
104,388,1,1
104,389,1,1
104,390,1,1
104,391,2,1
